color,green,red,orange,blue,white
green,48,470,184,135,259
green,50,471,188,140,258
green,51,468,185,136,258
green,53,471,183,138,263
green,53,472,183,138,261
green,54,471,182,138,260
white,137,682,421,287,551
white,138,680,420,287,545
white,141,682,431,290,547
white,158,692,443,294,551
white,162,693,444,296,551
white,144,690,428,280,553
yellow,122,638,325,177,476
yellow,125,651,321,173,482
yellow,121,645,322,170,478
yellow,132,634,310,173,459
yellow,129,643,321,196,471
yellow,133,638,328,200,472
blue,43,486,223,194,293
blue,42,484,218,187,294
blue,42,485,220,191,293
blue,50,483,220,199,284
blue,51,485,216,194,283
blue,44,474,200,174,271
black,45,445,139,127,197
black,44,441,136,126,192
black,45,443,138,127,197
black,46,445,138,128,199
black,44,444,139,127,195
black,44,442,135,127,192
red,74,594,184,144,319
red,76,591,184,150,319
red,76,588,178,144,318
red,65,553,171,145,301
red,63,554,172,142,302
red,62,550,172,137,302
pink,91,607,261,209,394
pink,88,613,265,204,399
pink,88,606,263,200,395
pink,101,627,274,206,413
pink,87,602,257,196,391
pink,83,602,255,192,389
