color,green,red,orange,blue,white
purple,59,497,206,176,261
purple,59,497,210,197,262
purple,69,501,200,176,259
purple,65,499,209,181,262
purple,59,497,208,189,258
purple,64,499,206,182,261
purple,54,496,203,180,261
purple,55,495,207,183,260
purple,59,499,208,186,263
purple,57,498,207,175,260
blue,68,513,252,219,307
blue,71,512,250,212,307
blue,69,512,259,217,307
blue,68,510,255,214,305
blue,79,514,255,213,307
blue,73,513,257,217,305
blue,66,514,261,228,308
blue,69,514,255,218,307
blue,68,514,255,216,306
blue,71,513,256,218,306
pink,122,618,243,219,361
pink,122,619,244,220,362
pink,125,622,244,218,362
pink,124,616,243,214,362
pink,124,615,244,219,359
pink,124,623,243,216,363
pink,121,622,245,216,363
pink,122,612,241,211,360
pink,124,616,244,214,361
pink,121,619,247,215,362
black,65,474,172,171,213
black,78,474,169,159,213
black,87,475,170,159,214
black,65,473,171,165,212
black,65,473,172,162,213
black,69,473,173,160,215
black,65,474,172,170,213
black,68,475,172,164,213
black,70,472,170,161,213
black,63,473,170,163,213
green,68,496,226,181,267
green,67,494,217,173,269
green,68,494,217,173,270
green,68,490,214,168,271
green,74,497,221,175,272
green,71,497,218,172,270
green,76,491,218,176,271
green,77,492,218,175,272
green,70,496,221,178,268
green,77,493,221,177,271
lightblue,92,565,317,244,394
lightblue,88,564,323,246,393
lightblue,89,564,323,245,392
lightblue,92,564,322,247,393
lightblue,95,568,323,244,398
lightblue,98,566,321,246,396
lightblue,98,567,321,246,395
lightblue,95,566,309,248,394
lightblue,94,566,313,247,393
lightblue,96,567,313,247,394
yellow,183,673,386,260,490
yellow,187,673,387,261,489
yellow,189,674,388,259,487
yellow,190,672,391,255,490
yellow,190,672,392,255,490
yellow,186,672,390,257,490
yellow,188,672,389,257,488
yellow,189,673,391,248,489
yellow,187,672,391,258,490
yellow,188,672,391,258,490
red,130,613,244,220,348
red,130,613,244,221,347
red,129,612,242,219,347
red,129,613,241,219,348
red,133,612,243,221,347
red,134,613,244,222,347
red,133,613,243,221,348
red,132,613,244,221,349
red,133,613,242,220,348
red,133,611,242,220,348
white,197,690,443,342,534
white,198,692,442,343,534
white,199,690,438,344,531
white,192,691,439,344,532
white,196,690,446,343,533
white,195,691,446,343,534
white,190,690,436,342,534
white,197,691,448,341,533
white,197,688,440,345,535
white,194,689,440,344,535
